date,draft_group,oprk_weight,role,name,team,salary,projected_fppg,actual_fppg,game_date
2026-03-09,143417,0,Captain,Mikal Bridges,NYK,10800,46.8,38.6,2026-03-09
2026-03-09,143417,0,Util,Kawhi Leonard,LAC,10800,46.0,54.2,2026-03-09
2026-03-09,143417,0,Util,Jalen Brunson,NYK,10000,41.2,46.5,2026-03-09
2026-03-09,143417,0,Util,Karl-Anthony Towns,NYK,9600,41.4,64.0,2026-03-09
2026-03-09,143417,0,Util,Darius Garland,LAC,7800,32.6,40.2,2026-03-09
2026-03-09,143417,0,Util,Bogdan Bogdanovic,LAC,1000,16.6,0.0,2026-03-09
2026-03-10,143420,0,PF,Jalen Johnson,ATL,10500,50.7,54.2,2026-03-10
2026-03-10,143420,0,SF,Michael Porter Jr.,BKN,8000,41.4,24.0,2026-03-10
2026-03-10,143420,0,PG,Ty Jerome,MEM,6900,34.7,40.5,2026-03-10
2026-03-10,143420,0,PG,De'Aaron Fox,SAS,6700,34.7,44.8,2026-03-10
2026-03-10,143420,0,C,Nic Claxton,BKN,5600,30.7,12.5,2026-03-10
2026-03-10,143420,0,SG,Cedric Coward,MEM,5100,27.3,42.0,2026-03-10
2026-03-10,143420,0,C,Julian Reese,WAS,4200,27.1,0.0,2026-03-10
2026-03-10,143420,0,SG,Marjon Beauchamp,PHI,3000,17.6,0.0,2026-03-10
2026-03-10,143555,0,Captain,Ty Jerome,MEM,13200,52.1,60.8,2026-03-10
2026-03-10,143555,0,Util,Kelly Oubre Jr.,PHI,9000,26.7,53.0,2026-03-10
2026-03-10,143555,0,Util,Quentin Grimes,PHI,8600,25.0,32.8,2026-03-10
2026-03-10,143555,0,Util,Cedric Coward,MEM,6600,27.3,42.0,2026-03-10
2026-03-10,143555,0,Util,Cam Spencer,MEM,6400,25.2,18.2,2026-03-10
2026-03-10,143555,0,Util,Jaylen Wells,MEM,5000,21.7,16.2,2026-03-10
2026-03-10,143658,0,Captain,Julius Randle,MIN,14400,60.8,37.9,2026-03-10
2026-03-10,143658,0,Util,Anthony Edwards,MIN,11000,45.4,26.0,2026-03-10
2026-03-10,143658,0,Util,Kawhi Leonard,LAC,10800,46.2,0.0,2026-03-10
2026-03-10,143658,0,Util,Naz Reid,MIN,6800,29.8,25.5,2026-03-10
2026-03-10,143658,0,Util,Ayo Dosunmu,MIN,4800,25.3,16.0,2026-03-10
2026-03-10,143658,0,Util,Kyle Anderson,MIN,2200,18.0,19.0,2026-03-10
2026-03-10,143563,0,Captain,Luka Doncic,LAL,20400,88.3,105.4,2026-03-10
2026-03-10,143563,0,Util,Austin Reaves,LAL,8800,40.3,53.2,2026-03-10
2026-03-10,143563,0,Util,Julius Randle,MIN,8400,40.5,25.2,2026-03-10
2026-03-10,143563,0,Util,Deandre Ayton,LAL,5400,26.9,35.5,2026-03-10
2026-03-10,143563,0,Util,Ayo Dosunmu,MIN,4800,25.3,16.0,2026-03-10
2026-03-10,143563,0,Util,Kyle Anderson,MIN,2000,18.0,19.0,2026-03-10
2026-03-11,143658,0.1,Captain,Kawhi Leonard,LAC,16200,69.3,97.9,2026-03-11
2026-03-11,143658,0.1,Util,Anthony Edwards,MIN,11000,45.1,47.0,2026-03-11
2026-03-11,143658,0.1,Util,Julius Randle,MIN,9600,40.3,24.5,2026-03-11
2026-03-11,143658,0.1,Util,Rudy Gobert,MIN,8400,32.5,20.8,2026-03-11
2026-03-11,143658,0.1,Util,Bogdan Bogdanovic,LAC,2400,16.6,0.0,2026-03-11
2026-03-11,143658,0.1,Util,Kyle Anderson,MIN,2200,18.0,12.2,2026-03-11
2026-03-11,143655,0.1,Captain,Nikola Jokic,DEN,19500,97.4,94.5,2026-03-11
2026-03-11,143655,0.1,Util,Alperen Sengun,HOU,9800,43.6,22.0,2026-03-11
2026-03-11,143655,0.1,Util,Amen Thompson,HOU,8400,38.7,29.2,2026-03-11
2026-03-11,143655,0.1,Util,Aaron Gordon,DEN,6400,31.2,8.5,2026-03-11
2026-03-11,143655,0.1,Util,Tim Hardaway Jr.,DEN,4400,21.6,20.8,2026-03-11
2026-03-11,143655,0.1,Util,KJ Simpson,DEN,1000,13.2,0.0,2026-03-11
2026-03-11,143654,0.1,Captain,Karl-Anthony Towns,NYK,15000,62.6,61.1,2026-03-11
2026-03-11,143654,0.1,Util,Jalen Brunson,NYK,10600,41.3,51.5,2026-03-11
2026-03-11,143654,0.1,Util,OG Anunoby,NYK,8200,31.9,33.0,2026-03-11
2026-03-11,143654,0.1,Util,Mikal Bridges,NYK,6800,31.1,18.8,2026-03-11
2026-03-11,143654,0.1,Util,Mitchell Robinson,NYK,4200,20.9,28.8,2026-03-11
2026-03-11,143654,0.1,Util,Kevin Love,UTA,3800,18.5,19.0,2026-03-11
2026-03-11,143723,0.1,Captain,Shai Gilgeous-Alexander,OKC,18300,77.1,97.5,2026-03-12
2026-03-11,143723,0.1,Util,Jaylen Brown,BOS,10200,46.3,55.5,2026-03-12
2026-03-11,143723,0.1,Util,Chet Holmgren,OKC,9600,35.4,25.2,2026-03-12
2026-03-11,143723,0.1,Util,Neemias Queta,BOS,6200,26.5,22.0,2026-03-12
2026-03-11,143723,0.1,Util,Ajay Mitchell,OKC,4600,27.3,29.0,2026-03-12
2026-03-11,143723,0.1,Util,Jordan Walsh,BOS,1000,13.9,14.2,2026-03-12
2026-03-11,143726,0.1,Captain,Luka Doncic,LAL,19800,88.7,135.8,2026-03-12
2026-03-11,143726,0.1,Util,Austin Reaves,LAL,9000,40.7,49.2,2026-03-12
2026-03-11,143726,0.1,Util,Tre Jones,CHI,6400,27.0,34.0,2026-03-12
2026-03-11,143726,0.1,Util,Deandre Ayton,LAL,6000,27.1,38.5,2026-03-12
2026-03-11,143726,0.1,Util,Rui Hachimura,LAL,4800,19.4,21.2,2026-03-12
2026-03-11,143726,0.1,Util,Jake LaRavia,LAL,2800,20.0,9.8,2026-03-12
2026-03-12,143722,0.1,Captain,Nikola Jokic,DEN,20100,97.4,129.8,2026-03-12
2026-03-12,143722,0.1,Util,Stephon Castle,SAS,8200,35.6,62.8,2026-03-12
2026-03-12,143722,0.1,Util,De'Aaron Fox,SAS,7800,34.8,46.2,2026-03-12
2026-03-12,143722,0.1,Util,Devin Vassell,SAS,6200,26.0,29.2,2026-03-12
2026-03-12,143722,0.1,Util,Dylan Harper,SAS,4400,23.0,28.8,2026-03-12
2026-03-12,143722,0.1,Util,Luke Kornet,SAS,2000,20.2,11.8,2026-03-12
2026-03-12,143723,0.1,Captain,Jaylen Brown,BOS,15300,69.4,83.2,2026-03-12
2026-03-12,143723,0.1,Util,Shai Gilgeous-Alexander,OKC,12200,51.4,65.0,2026-03-12
2026-03-12,143723,0.1,Util,Chet Holmgren,OKC,9600,35.4,25.2,2026-03-12
2026-03-12,143723,0.1,Util,Payton Pritchard,BOS,7200,32.5,25.0,2026-03-12
2026-03-12,143723,0.1,Util,Ajay Mitchell,OKC,4600,27.3,29.0,2026-03-12
